,MD,mf1,mf2,mH,mA,mE1,mE2,mu->e gamma,alfa,delta,y1,rho1,eta2,eta3,f2,f3,f1,rho2,rho3,k,I1,I2,mu,Rmuv
7265,871.660093709,869.782720354,1657.75286779,640.186079944,643.987904939,646.597088808,869.595866924,1.47078038709e-14,0.0488307109916,0.00205020359964,0.0001416721167,0.185545707989,-0.000702922109823,-0.00086402583822,-0.00164903382533,-0.000706788709325,-0.000457094766846,0.00803467555722,0.00846610506025,1.23995015645e-05,0.267167550935,0.151993298227,3.98503943483,0.0161993472961
7302,878.975733068,871.164910684,1079.26812521,747.827837926,752.583279124,747.875970919,870.448375562,4.18509998302e-18,-0.194968265012,-0.0049857957018,0.000118981276938,0.0121222302931,-0.000590338961278,-0.000725639596087,-0.000584249013588,-0.000250413666411,-0.000161947658406,0.000932924192656,0.00298360163237,4.16717329297e-05,0.144021893268,0.122686083353,-5.68545787965,-0.023111617397
7353,1427.91065239,1427.80172536,1709.50415592,581.811710791,584.55088243,584.143148231,1427.30630834,1.0261433073e-20,0.0196652983294,-0.00230639802673,0.000389137505294,0.000134885538696,-0.00193074941353,-0.00237326064596,0.00129607132562,0.000555506239688,0.000359257288298,0.0172247412426,0.000264660152421,-5.74362638311e-06,0.640318020984,0.546503316717,-22.4870950408,-0.0914109554503
7376,1476.02492719,1472.23154843,1749.49894707,671.6258284,675.809010605,677.929326627,1471.87842998,1.40432416786e-15,0.117235459926,0.00106632967362,0.000119337677061,0.00527433938936,-0.000592107280494,-0.000727813198925,-0.00146927406137,-0.000629742277889,-0.000407267258074,0.0557964448263,0.000397180457067,1.65210552256e-05,0.582392114,0.502131066631,10.4631715148,0.0425332175398
7469,721.239952176,717.824095854,1051.47448363,524.476868365,531.552547371,534.115312702,717.605086172,1.71774487905e-16,-0.101355615901,-0.00259744202193,0.000111269248093,0.0433017276834,-0.000552074864481,-0.000678605695963,-0.00113179082772,-0.000485094341947,-0.000313720468657,0.00236196035714,0.0500523344092,2.30025959636e-05,0.266346997899,0.195043139523,-3.42959623757,-0.0139414481202
7713,990.339920722,984.556835269,1624.71962288,792.16119872,795.427259907,795.077575492,984.334299822,2.68800219971e-17,0.0951898528157,0.00305651746762,0.000119890058786,0.00106591028279,-0.000594847984427,-0.00073118204873,-0.000740952789904,-0.000317578122414,-0.000205384290814,0.117796384469,0.00623594035013,3.26095243189e-05,0.198342128687,0.131152163248,5.91741286455,0.0240545238396
7728,1147.81772877,1136.70572819,1685.71290498,678.365248759,684.125605215,686.825401717,1136.36097985,8.05682768589e-17,-0.142752310095,0.000570740531921,0.000510913774475,0.000754800176766,-0.00253495604257,-0.00311594626051,0.000410491144569,0.000175939693778,0.000113783811548,0.113126679481,0.565236156464,-1.38123244154e-05,0.420296164778,0.299512005137,2.68914146661,0.0109314693765
7745,1846.88184966,1846.75196468,2421.20823502,916.371597731,918.711794568,917.704407434,1846.05830001,1.39517121756e-14,0.0150372128616,-0.00192581687958,0.000666475878651,0.044122219444,-0.00330679488442,-0.00406468395559,0.000651237903492,0.000279125625079,0.000180516271458,0.0330041900353,0.606065869988,-6.67412089317e-06,0.541000497326,0.427676328337,-28.4058716918,-0.115471023137
7762,1288.76754861,1278.60616958,2210.54753105,979.632401583,979.90295818,981.475684667,1278.4690161,1.27098812568e-19,-0.104610294521,-0.0025849482879,0.00012930372655,0.000884234703972,-0.000641554953734,-0.000788593855447,-0.000487870519699,-0.00020910509514,-0.000135232557408,0.0126152241389,0.0836887220826,4.5920071645e-05,0.241154772696,0.151706697751,-9.97411395779,-0.0405451786902
7784,901.000187681,898.352303849,1857.8194777,657.122726944,658.104283291,660.390365747,897.714801159,1.53875844332e-14,0.0525574593203,-0.000599555200898,0.0015731035659,0.481503341671,-0.00780512992444,-0.00959399886722,0.000468809216084,0.000200935272319,0.000129948965284,0.00376868049847,0.197395656154,-3.92793885189e-06,0.275652811633,0.143907405762,-1.27452449171,-0.00518099386876
7803,1361.87226665,1361.31983084,1935.24224474,896.98318429,897.803735824,898.589777345,1360.39732459,3.04134127944e-20,-0.0310301599912,0.000250433228538,0.000539581084184,0.00121663451005,-0.00267719211762,-0.00329078162598,0.00371925838019,0.00159410303767,0.00103093915723,0.000231816388974,0.000889568825931,-1.44346117744e-06,0.357842071386,0.266885881539,1.50191931501,0.00610536306915
7875,1387.53636753,1380.69925837,1668.62492571,731.587087865,737.657216373,735.179085181,1379.83927944,9.78510125253e-20,0.154714147771,-0.00120723405808,0.000180121643891,0.00249770085702,-0.000893693754974,-0.00109852071085,0.000642056397987,0.000275190360486,0.000177971255065,0.00145108255642,0.0337195762316,-2.50483483572e-05,0.500589424904,0.427107880329,-9.4627190344,-0.0384663375382
7895,1187.44953089,1187.07259183,1249.42375063,910.337160357,916.554933656,911.275368713,1186.40290725,2.21225013513e-15,-0.0778308658942,-0.0101359327132,0.000279106199172,0.0164926668092,-0.0013848167371,-0.00170220487496,-0.000535996176111,-0.000229732125379,-0.000148572481283,0.0768050880061,0.00354107617362,1.93636400289e-05,0.240641580147,0.231747678964,-33.626898036,-0.136694707463
7927,1271.3860105,1257.76768468,2133.03100075,603.01884961,606.047313383,604.510143893,1257.19177239,2.4742140961e-16,-0.125061946561,-0.00165442043257,0.000182691431578,0.0690618978585,-0.000906444045044,-0.00111419325822,-0.000450183871846,-0.000192952305073,-0.000124786216497,0.00141139452082,0.177591342315,3.52216797104e-05,0.559372701167,0.342575956885,-11.5567712631,-0.0469787449721
7944,976.076284086,968.937099445,1482.27632259,759.47585423,769.430397528,767.786005881,968.436054024,1.78472420858e-20,-0.118204470707,-0.000439109816454,0.000355793171259,0.000185590394417,-0.00176530775729,-0.0021699011788,-0.00145542961409,-0.000623808440224,-0.00040342972345,0.00114547955653,0.000577957560323,5.59408883388e-06,0.214188298678,0.151600530588,-0.879422391236,-0.00357488776925
7957,1906.45803409,1906.39399534,2001.27737209,976.155920412,979.062388939,982.114582179,1905.78791962,1.14362593642e-14,-0.0259821577501,6.98332604452e-05,0.000197565423054,0.0464974620717,-0.00098024302337,-0.00120490633043,0.141048671305,0.0604545563664,0.0390972025762,0.000530376062952,0.045222128854,-1.03953289402e-07,0.520432533029,0.500280907046,1.07088575879,0.00435319414144
7991,1006.477247,1003.21030537,1481.67699595,825.604305918,835.129521506,827.937927328,1002.44444359,3.2624028852e-15,0.0827256709316,0.000207459269283,0.000854941611657,0.0489469597541,-0.00424188877416,-0.0052140933576,-0.00211199109835,-0.000905215793378,-0.000585421635292,0.0201947126622,0.00125161930193,1.60431496846e-06,0.178998007746,0.131203970634,0.380948436144,0.00154857087863
8012,1424.48593051,1421.99796423,1661.04079536,791.944331112,796.65346996,797.492635296,1421.1427675,9.71197430221e-21,-0.102197584984,-0.000764737210211,0.000576038686666,0.000629698532081,-0.00285808060473,-0.00351312820538,-0.00054499785664,-0.000233590315591,-0.000151067652091,0.000256975602384,0.10491567901,9.22723812831e-06,0.468659146647,0.4125165331,-6.08301519481,-0.0247277040439
8063,1556.944292,1554.77762827,2037.16180691,882.359747404,883.965473536,884.318933188,1554.28452902,1.01570239128e-16,-0.0670694702298,0.000923720465454,0.000567790731707,0.350743963916,-0.00281715745036,-0.00346282581446,0.000423087079188,0.000181338409217,0.000117275271644,0.000510048984286,0.053641544705,-1.20586895092e-05,0.460005963703,0.366213358276,8.67588719825,0.0352678341392
8080,778.705426801,761.197902275,1400.4152879,669.345542736,672.283804715,676.454944469,760.72047915,5.37821500618e-22,-0.166261149851,0.00300510276997,0.000163455554374,0.000109588852931,-0.000811003081051,-0.000996878042548,0.000607528100536,0.000260391263939,0.000168400375541,0.000699729233946,0.00163238767745,-2.91710539886e-05,0.112761076864,0.0679980307125,2.09216709648,0.00850474429463
8100,927.918023892,926.674166782,1068.69648867,646.684223137,654.842460637,649.111493329,925.945361721,2.71795500211e-19,0.0937222974479,-0.000651817567295,0.000974446629046,0.000224229338174,-0.00483482633248,-0.00594292712691,0.000817222307108,0.000350267830046,0.000226525395774,0.000323553304651,0.000606008559529,-3.6376415696e-06,0.313318865647,0.28053136319,-1.63388424653,-0.00664180588019
8107,972.058266311,967.797078808,1219.72233611,649.859302577,649.864606879,652.140602124,967.098890313,2.06961053731e-16,-0.130425179571,-8.06793585817e-05,0.000998325063432,0.0091698686742,-0.00495330186506,-0.00608855623704,-0.00284593625397,-0.0012197903893,-0.000788863483866,0.0164244866941,0.512468152585,1.01957935241e-06,0.342626783489,0.284547551155,-0.236541014192,-0.000961548838178
8140,1534.87167724,1534.62172974,1729.61552749,646.034651202,653.1233561,648.058264122,1534.29869757,2.38185077833e-14,0.0358102061569,0.00321700890411,0.000121994875179,0.00130918085822,-0.000605291267229,-0.000744018842524,-0.00203772184001,-0.000873383412235,-0.000564834980971,0.793224235533,0.102430515787,1.16528374218e-05,0.625597073373,0.564311453225,35.7689758814,0.145402340981
8166,915.868694663,915.03964434,1031.20489689,753.102703679,760.469137566,762.629692559,914.761384679,2.38270747777e-19,-0.0845805029154,-0.0178919849552,0.000116906488013,0.0107460254901,-0.000580044663129,-0.000712985932953,-0.000513509426686,-0.00022009412987,-0.000142339391745,0.00111930389546,0.00142256918391,4.82537577857e-05,0.170850124528,0.156511159376,-26.2421703442,-0.106675489204
8209,1021.37287478,1018.87588897,1312.57403626,792.265998551,797.819380031,795.061048911,1018.26959368,8.70589097782e-22,-0.0923367845038,0.00466041330594,0.00012151339381,0.00840476910873,-0.000602902343369,-0.000741082397772,0.000656548283971,0.00028140169541,0.000181988252863,0.000114688355293,0.000179958183619,-3.63100923316e-05,0.227017484861,0.186430079677,10.8439087009,0.0440809296785
8242,1545.04829859,1541.43184594,1770.66031816,799.101793854,799.964611223,799.122066483,1540.50146852,3.56669282565e-21,0.125937690929,-0.00315910058921,0.000160554059183,0.000131615136431,-0.000796606986969,-0.000979182486977,0.000385240161263,0.000165116926152,0.000106784505561,0.000228851059007,0.00890334739096,-4.68344396484e-05,0.516463311238,0.460212810936,-31.501189475,-0.128053615752
8246,753.887899076,753.820259861,781.549821823,659.994113801,661.519628719,666.656179898,753.457475376,4.01063554126e-15,0.049408821142,-0.0457058625712,0.000211638147395,0.0618523320445,-0.00105006642486,-0.00129073265765,0.00100221298764,0.000429556272965,0.000277802859395,0.0539968033061,0.0235329004141,-1.36572794799e-05,0.117370150962,0.114431471752,-32.3441771559,-0.131480394943
8324,1321.81626582,1321.31937646,1481.34560872,506.529951069,509.859198392,516.205854401,1320.74901801,1.00163343187e-13,-0.055751847727,0.00166088734175,0.000196586377666,0.0404459650051,-0.000975385379781,-0.00119893535653,0.00196894184056,0.000843903770102,0.000545769891264,0.0326544755651,0.0179794838686,-7.48396704e-06,0.660990871914,0.598219303136,14.1113025535,0.0573630185101
8379,892.397583637,892.235753832,1198.06117129,763.985873592,771.476769079,771.849839234,891.680989802,9.56535770707e-19,-0.0230054523132,0.00688502706162,0.000521331151896,0.00185124834636,-0.00258664303,-0.00317947946286,0.000630540679449,0.000270254634052,0.000174779219463,0.019031796453,0.261823791052,-8.81234289053e-06,0.137325757478,0.109607087065,7.88991638097,0.0320728308169
8476,1001.29589389,1000.84884758,1719.09927854,893.39453285,903.093469175,902.539406057,1000.65769703,3.87347892893e-16,-0.0249507366576,0.000233670182947,0.00016491712667,0.00655582880985,-0.00081825483606,-0.00100579183771,0.044361863899,0.0190138395263,0.0122966403261,0.0358949830566,0.0242316360781,-3.95952081031e-07,0.0996396947995,0.0642506188912,0.250851623749,0.00101972204776
8534,734.721270241,732.273820014,819.563795944,557.050789808,563.307613385,559.82223815,731.379481087,1.15109614436e-13,-0.168238508597,0.000217160607304,0.000742145710393,0.107023911693,-0.0036822392486,-0.0045261769531,0.00338494719823,0.00145081466772,0.000938271627051,0.0550998177762,0.000373763358017,-1.15312687603e-06,0.243391361791,0.223666016204,0.276543896909,0.00112416218256
8567,1403.80148026,1396.48227151,1895.8751645,739.370959004,740.236851278,744.116189501,1395.97234641,1.11610422941e-15,-0.121360536526,6.95427359245e-05,0.000226350843325,0.00655085400348,-0.00112306511723,-0.00138046202521,0.00811083606886,0.00347636735438,0.00224823812881,0.0534809264573,0.0150805024443,-1.57786714707e-06,0.500416343067,0.38432776723,0.557718658816,0.00226714901958
8619,1115.14211586,1113.49628678,1810.54344417,692.100590903,702.072488568,700.899506515,1113.07643326,1.62660727856e-20,0.0486107518764,-0.00200262377379,0.000100708702585,0.00311749163563,-0.000499677532511,-0.000614199344187,0.00167069829413,0.000716074268968,0.000463099928875,0.000481980248076,0.00113347869925,-1.72168281376e-05,0.392094324836,0.256590241634,-8.60782236646,-0.0349911478311
8676,1753.99162788,1748.13656144,2515.44798197,925.57627967,935.235613627,929.288941007,1747.35936299,2.18937779006e-17,-0.0874649310186,1.59507092332e-05,0.000260570710636,0.00386034686326,-0.00129285083011,-0.00158916116959,0.031343334664,0.0134339967518,0.00868804146423,0.000340136739199,0.000950873720179,-3.54688720193e-07,0.501761269267,0.364746048156,0.200789912659,0.000816219157149
8723,1505.73332833,1501.38622673,2251.07195069,876.837779693,883.339391432,886.584243368,1500.61143814,5.82547065154e-16,-0.0762220954952,-0.00109461249063,0.000361367215452,0.316872947827,-0.00179296400324,-0.0022038959995,-0.000419339316317,-0.000179732088933,-0.000116236431343,0.00105489521659,0.424476098408,1.91163002196e-05,0.435424100622,0.30654792597,-9.22392089276,-0.0374956133852
8749,1560.45517849,1557.03637988,1664.96859278,661.686142848,668.645509214,671.623717025,1556.1955437,8.91000057819e-16,-0.178929136292,-0.00245619544814,0.000297927466459,0.371084615468,-0.00147820056745,-0.00181699147957,-0.000362391941079,-0.000155324001467,-0.000100451220144,0.000481855682558,0.000119576708956,2.68305206214e-05,0.615039452483,0.581085040865,-27.8262141847,-0.113114691808
8778,1007.19345509,985.047631773,1835.69720661,620.971144334,629.956532142,628.903926905,984.259919567,9.46958629437e-18,0.162059026692,-0.00235659790174,0.000121784198555,0.0025311537671,-0.000604245971509,-0.000742733973976,0.000411185479693,0.000176237291207,0.000113976273914,0.0110829507858,0.129598424658,-5.78481483348e-05,0.381681639272,0.218074137548,-7.76615212601,-0.0315697240895
8844,1567.53753961,1565.98492465,1641.77029811,727.632274663,735.518489005,735.261071444,1565.03008371,4.92904337655e-14,0.143626094498,0.00339440328457,0.000325278082279,0.00340031886787,-0.00161390371797,-0.00198379663015,-0.000402557785987,-0.000172539394654,-0.000111584768305,0.615085262768,0.000277172400622,2.21225478304e-05,0.571787106166,0.549818228538,37.2460322836,0.151406635299
8950,1270.44718387,1269.29667436,1413.80040713,645.496768422,646.750081184,650.395778945,1268.5467734,1.39332786502e-13,0.0893477371083,-0.00397300563226,0.000103864734024,0.0112876153604,-0.000515336536766,-0.000633447258128,0.000997831980995,0.000427678539479,0.000276588490604,0.254234611429,0.000102042218308,-2.79506969836e-05,0.523281754377,0.478639208567,-27.0926225758,-0.110132612097
8961,1219.30600074,1218.45606487,1334.50160628,949.076156643,955.460320831,950.416940572,1217.755264,1.41645653702e-20,-0.0856861084124,-0.00113886278874,0.000540305075965,0.00018995576353,-0.00268078428411,-0.00329519708627,-0.00132109021527,-0.000566229530168,-0.000366192260372,0.00220388797709,0.000221294012736,4.05832338855e-06,0.227374009841,0.212547340841,-3.79494871238,-0.015426620782
9030,1160.02528823,1148.3128593,1499.82239958,501.625297749,509.037907616,510.673781916,1147.74163682,6.59244572051e-14,0.18356790634,0.000359581465032,0.000115395122566,0.972099287521,-0.000572545853811,-0.000703768460751,-0.00286839709467,-0.00122941728012,-0.00079508939178,0.000491434938174,0.00287085762826,8.75168036686e-06,0.599967514663,0.473633007546,2.18401778052,0.00887812105902
9046,839.716934261,833.761399068,1047.65051974,571.624734817,575.427813853,577.088100612,833.206437074,1.12411410696e-17,0.167649540086,0.000878278141706,0.000196739777848,0.023941466517,-0.000976146492002,-0.00119987090915,-0.00125959335791,-0.000539871499321,-0.000349145980762,0.000636037810712,0.0297523413725,1.16894919434e-05,0.32255915706,0.268898867376,1.82373712047,0.00741356553036
9076,1428.98330138,1428.77261673,1491.69170158,541.950983487,547.476846534,547.489721391,1428.35229509,1.90309478344e-17,-0.0578985801927,-0.00305933874721,0.000175772103699,0.000442019733803,-0.000872113023072,-0.00107199385999,-0.00255372116775,-0.00109454473304,-0.000707864547002,0.000339805258276,0.0220333352958,6.45349157743e-06,0.669531280641,0.645156233548,-30.610126369,-0.124431408004
9142,779.4324064,777.629164569,1563.37123094,571.709624773,574.99626761,573.139070524,776.662187036,6.52891467599e-16,-0.0479240197721,-0.000304696289728,0.00218065446407,0.024143595612,-0.0108195619038,-0.0132993128435,-0.000833415478988,-0.000357208349323,-0.000231013972061,0.00427578998931,0.00842894861629,1.59393188126e-06,0.273035514705,0.146851937941,-0.481205522064,-0.00195612000839
9171,1135.42239002,1135.17444398,1173.29081274,801.757173045,802.294677666,803.680158215,1134.70729998,4.55789650382e-17,0.0807411257254,0.000900996492629,0.000108699280323,0.00209756196239,-0.000539323680911,-0.000662932050307,-0.0200757121138,-0.00860460618559,-0.0055647754503,0.0225606107919,0.000715795372265,1.32745725835e-06,0.305487915105,0.298030256764,3.32358623313,0.0135105131428
9206,713.420545175,708.680312043,1693.15773221,522.108408761,530.902989771,526.462066553,707.763181696,5.45916580726e-15,-0.0694458195114,-0.00123235364292,0.000353476734989,0.403455083295,-0.00175381449871,-0.00215577376377,-0.00116368027949,-0.000498762408735,-0.000322559888018,0.000417324610244,0.685028753152,7.04244826256e-06,0.266655197643,0.119309466748,-1.58529359888,-0.00644428292226
9256,972.608264826,972.388261047,1164.52584164,840.069096195,843.3485274,846.81897406,972.099906123,1.20252395991e-18,0.0338447902681,0.00956366101768,0.000270159177567,0.0257323254101,-0.0013404250851,-0.00164763903644,-0.000844498538918,-0.000361958634916,-0.000234086079265,0.00162148987433,0.00161124351232,1.26969540073e-05,0.131607073662,0.115216629,12.5278311084,0.050926142717
9260,1805.61708648,1805.12065756,2105.11213759,975.063116561,975.951244107,984.095654747,1804.3258879,6.99019763867e-20,0.0406905844397,-0.00157017259518,0.00066586976445,0.000923511003305,-0.00330378758077,-0.0040609874037,0.000452118129086,0.000193781342753,0.000125322372183,0.0050547132914,0.0151503737714,-9.62225711932e-06,0.486448914467,0.428436880785,-20.645279769,-0.0839239015
9285,721.032223281,717.307557015,1165.37502756,515.832699451,517.644306311,522.286056247,716.873321275,6.92395124503e-16,0.0913009955882,0.00403309712553,0.000158564388402,0.00446254292496,-0.000786735012045,-0.000967047939936,-0.000491983719593,-0.000210868044571,-0.000136372692994,0.0451165313058,0.0259534298346,3.71331495014e-05,0.283349421767,0.188147375474,5.59056168759,0.0227258605187
9293,894.395296454,893.862183026,1190.96130547,797.942674385,806.101949275,800.339681133,893.449988591,1.93954656553e-20,-0.042372988447,0.0307711422592,0.000139673123353,0.000112334905634,-0.000693003879946,-0.000851834434986,0.000365703007256,0.000156743150155,0.000101369012732,0.0538166696842,0.368820809284,-5.67122395692e-05,0.105986288191,0.0853245490781,27.8808859388,0.113336934711
9383,916.532719066,914.894515836,975.705638629,677.914053981,685.926168187,684.681091847,914.175323374,1.48124467183e-14,-0.164877674942,-0.00454786020111,0.000168097006806,0.0265045795686,-0.000834032168301,-0.0010251851994,-0.000930966900886,-0.000399019646652,-0.00025805419632,0.0660963354207,0.00084231242921,1.85107473651e-05,0.261219600766,0.249007770701,-9.59317233116,-0.0389966354925
9391,1561.71247351,1533.65267051,2451.4495638,790.494260891,792.392335663,797.138191681,1533.01759567,2.34522117234e-15,0.175754801546,-8.328515262e-05,0.000174488327848,0.000940374807451,-0.000865743425082,-0.00106416440469,0.00496470201742,0.00212790985677,0.0013761629848,0.603749961617,0.000164315620815,-3.34394100287e-06,0.515143299083,0.337302231705,-0.820992292975,-0.00333736704461
9399,938.037070432,937.699930086,1338.96945911,669.942319118,677.969698606,679.785160762,936.974762275,1.28155461746e-21,0.0289899927128,0.0152583766697,0.000129989755685,0.000100257116786,-0.000644958764293,-0.000792777790239,-0.00043724003179,-0.000187404474661,-0.000121198320687,0.00435149680541,0.00119348014253,5.09670068899e-05,0.286628364392,0.214328590285,36.4686555829,0.14824656741
9507,1638.7173048,1631.38884045,1864.110326,804.557443059,813.396197805,809.340760435,1631.27290403,1.12032502804e-13,0.178399805562,-0.000904946413339,0.000213864337555,0.553349078563,-0.00106111191723,-0.00130430968228,0.000701412672884,0.000300630921062,0.000194424187818,0.00752600148445,0.00113343783631,-1.93110636512e-05,0.542236776557,0.484893423628,-10.4360828945,-0.0424231011972
9520,1160.80864067,1153.78106172,2086.00896285,547.034752403,550.536819218,549.433678097,1153.20835569,4.14008964082e-19,0.0869338645203,-0.000120208997284,0.000299818993019,0.0146861751586,-0.0014875855888,-0.00182852746745,0.00657524714271,0.00281820201023,0.00182258909034,0.000989886120005,0.000154011847778,-1.46942340179e-06,0.564335860305,0.322835038299,-0.710419880897,-0.0028878856947
9571,1423.74660028,1423.71985753,1426.86801851,563.942736551,563.99637163,564.431526609,1423.23603075,9.22611164246e-16,-0.0922977980082,-0.000497737240173,0.00510281999844,0.00461325899867,-0.0253182142182,-0.0311209321152,-0.00621595518782,-0.00266420668693,-0.00172299715364,0.0202605642168,0.0823376094031,9.13271806286e-08,0.654592588339,0.653369597809,-4.88447641749,-0.019855595193
9575,755.327939494,734.29317942,1543.29667315,503.435248342,507.316756133,506.721695116,733.792937836,2.02078742937e-13,0.161954787047,-0.000475943770998,0.000146182428978,0.148802107783,-0.000725300530479,-0.000891533201263,0.00251343043709,0.00107727581285,0.00069669638183,0.0207338579002,0.000581650522645,-7.88417273339e-06,0.3248133443,0.165195822741,-0.770725096374,-0.00313302884705
9586,1346.05532448,1345.68131654,2252.4053948,589.821494184,599.530524366,591.661590121,1344.77526811,2.24335390575e-14,-0.0203110650643,-0.00172017972781,0.00124836492362,0.0706644042014,-0.00619390269856,-0.00761349215822,-0.000406257680637,-0.000174125198246,-0.000112610340041,0.0122381265121,0.0180618446644,5.71182683246e-06,0.605493836227,0.373212057884,-14.4217092259,-0.0586248342516
9609,1108.96483601,1098.98203718,1581.27208914,946.25588319,949.239709088,949.837571572,1098.63347917,3.10518046239e-17,-0.144371588599,0.00121336685861,0.00030882555497,0.00800164225763,-0.00153227265691,-0.00188345642891,0.000678255700535,0.0002907056628,0.00018800531956,0.0332756868553,0.710912698741,-1.38296596244e-05,0.138450864357,0.104217880563,2.12614270513,0.00864285652493
9686,1211.42727931,1204.06069042,1489.23033221,926.937010937,930.026107572,932.177842481,1203.58161075,5.93194640914e-14,-0.16142446039,0.00118579914169,0.000289130041424,0.0106187823158,-0.00143455115562,-0.00176333799632,0.000596603151895,0.000255708746072,0.000165372095117,0.669407879118,0.020613494351,-1.6793430165e-05,0.233794624766,0.198492245747,3.95147124438,0.0160628912373
9730,997.098678193,996.956535171,1161.39276801,873.593087864,882.848759021,879.822678149,996.550459145,3.62671741676e-16,-0.0294053667876,0.00267787373465,0.00292283351199,0.756641040991,-0.0145019665603,-0.0178256931145,0.000394902065758,0.000169258093484,0.000109462683483,0.000240345407762,0.337442399186,-2.5097166436e-06,0.119377627582,0.106811618852,3.37179643046,0.0137064895547
9758,870.330238633,865.394871554,1146.36577038,782.959445997,787.186531172,783.42558816,864.668799887,9.71623745692e-21,0.132925638414,0.00251666719985,0.000106814247885,0.000555766479353,-0.000529970880874,-0.00065143566859,-0.00217355091571,-0.000931600809374,-0.000602485366753,0.00097060969783,0.000139143329079,1.24772584095e-05,0.0953721367832,0.0771955975259,1.9371935312,0.00787477045205
9784,1567.26658433,1567.21265242,1570.05754498,736.281639566,744.782305424,742.419105521,1566.22760737,2.75900364685e-13,-0.138124841056,0.0021347220456,0.000644191283761,0.124457267213,-0.00319622736541,-0.00392877530802,0.00829519977918,0.00355538707299,0.00229934180291,0.0020573873584,0.0208748536133,-5.42096346436e-07,0.567014615055,0.566174489864,23.340150655,0.0948786611991
9785,1516.08238686,1513.35016911,1795.06914966,681.436493492,686.485320079,689.822126504,1512.4540618,1.77815593387e-19,-0.0986402358063,0.000972320788777,0.000157011229969,0.000231013349424,-0.000779028842135,-0.000957575581871,0.00142974002897,0.000612797684449,0.000396308841668,0.0147663516214,0.000527891099458,-1.29041791066e-05,0.587305511896,0.507046654975,10.1266671749,0.0411653137193
9818,837.347851591,837.271784666,860.659163554,615.105363159,615.828562018,621.725435904,836.490557362,1.32214248194e-19,-0.0570614568987,-0.00860284817891,0.000715176104616,0.000148392540216,-0.00354842652218,-0.00436169549562,-0.00080342477878,-0.000344354102208,-0.000222700866588,0.00338058075972,0.917820984167,5.04150215518e-06,0.267358044186,0.261981458048,-15.4876787015,-0.0629580435021
9839,938.017394799,929.371235765,1843.17748448,518.078799015,525.275042836,518.723082591,928.799188583,3.82530003461e-18,-0.0974253101518,0.00271817653812,0.000133536206354,0.00452259289009,-0.000662554877376,-0.000814406781765,0.00066701520339,0.000285887898393,0.000184889572422,0.0023819485227,0.000919298811107,-3.25224614337e-05,0.471661653952,0.248410977763,9.27566660372,0.0377059618037
9897,927.327272741,926.302176874,1419.60387562,652.094697347,657.058480149,657.208493977,925.937533518,1.67426008989e-19,0.0456012201704,0.00940897710749,0.000126797844428,0.0019956917239,-0.000629121738298,-0.0007733110535,-0.000412421835055,-0.000176767202721,-0.000114318978568,0.0023925952757,0.00218614771169,5.53942457808e-05,0.303848500227,0.212645654417,23.0108279907,0.0935399511815
9985,957.969551974,953.683867694,1237.13215302,631.5579045,633.935419674,635.233063902,953.579067122,1.06354276239e-20,-0.123274626876,0.000486109950097,0.000205149464871,0.000542943068121,-0.00101787209816,-0.00125115966694,0.00222766946708,0.000954796440955,0.000617486457841,0.000134703832802,0.0474658918785,-6.33865381798e-06,0.35178936591,0.284827953964,1.4134689798,0.00574580886096
10147,639.186924161,638.781294129,1273.24680071,536.792830651,538.72713234,542.916054194,638.216070277,1.19627547645e-15,-0.025287583503,-0.000971663811385,0.00211035271959,0.355134544299,-0.0104707519071,-0.0128705585824,-0.000871100726602,-0.000373360539237,-0.000241459924841,0.00011099513176,0.171045760422,1.57577697419e-06,0.152924216542,0.0846785511593,-0.62876317908,-0.00255594788244
10252,1507.14003446,1497.39590495,2330.10865997,524.028001993,528.273886702,533.125888711,1496.52167673,2.69377999406e-18,-0.108386344231,0.00325921011592,0.000166055761339,0.000605049443568,-0.000823904299783,-0.00101273611014,0.000366198244076,0.000156955412503,0.00010150628715,0.0118361355103,0.981780004637,-4.76373910836e-05,0.699590995152,0.458788773103,36.636548318,0.148929058203
10279,1216.79667504,1215.67058854,1385.1006561,518.583051387,521.266625209,520.636854446,1215.19800671,8.37628466505e-17,-0.081615545469,-0.00171427162831,0.000606995328334,0.00285721234787,-0.00301167545727,-0.00370192568288,-0.00039618898764,-0.000169809678201,-0.000109819404642,0.0142110437918,0.0396566156298,1.20456551575e-05,0.618666209516,0.552848255077,-11.8816723621,-0.0482994811469
10298,1830.59687856,1815.62838007,2308.56400402,917.514596582,923.414700131,921.035901109,1815.2589833,3.40504394594e-15,0.175152714977,-0.000173813965954,0.000598441737082,0.132901986483,-0.00296923585413,-0.00364975928611,0.00076643687216,0.000328500798062,0.000212448209369,0.00920863923763,0.0596086864565,-6.31567698236e-06,0.529462463739,0.430893994628,-2.44496882257,-0.00993889765274
10391,1095.29334988,1094.25599561,1645.10391117,630.244125127,639.154280244,632.970597241,1093.27146779,3.6957459889e-18,-0.0434094315547,0.000399484587621,0.00207187782187,0.0032055683633,-0.0102798543832,-0.0126359089807,0.000480763502184,0.000206058972217,0.000133262567185,0.00785536238734,0.0461374264902,-2.9081884327e-06,0.448561779938,0.314482971716,1.8248340026,0.00741802440082
